,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
24,Mike Dorosh,Cloud (VCPP),yeah this is absolutely a lot more elegant solution than lighthouse it puts the power in the partner the managed service providers hands to decide what and how vs lighthouse it opens up markets for your partner community and more importantly it opens up opportunities for vmwareare to play across all of these clouds a lot better,6/3/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
25,Mike Dorosh,Cloud (VCPP),i will say that it gets a lot more interesting as you add more and more stuff to this thinking about your vcpp partners and some of the more advanced users of some of these things sooner or later they are going to want a onestop shop hub for this stuff they arent going to want to go to 23 different things or have to integrate 23 different things onto their workflows they are going to want consistency reporting pricing etc,6/3/2020,Positive,Features or products (included/missing/recommended),2020.2,FY21 Q2
26,Mike Dorosh,Cloud (VCPP),you guys are going to have to think about positioning against lighthouse and arc with this program we are already getting questions around im a service provider that plays in the azure ecosystem and in the vmwareare ecosystem whose tools do i play with lighthouse and anthos even though thats more of a boogeyman right now than it is a reality,6/3/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
27,Sid Nag,Cloud (VCPP),yes anthos to some degree the difference between anthos and lighthouse is that anthos is more arcish whereas lighthouse is more like this lighthouse and this have an msp angle to it but those are more selfprovisioning runitself managed tools tools dont make a service as we all know,6/3/2020,Advice,Competitive mentions/intel,2020.2,FY21 Q2
28,Mike Dorosh,Cloud (VCPP),the next phase of this hybriddistributedpublic vs private vs it services market is going to be around this you guys are positioned in a lot of ways because of your history and dominance in the old model and more importantly the things youve done in the last couple of years to potentially become that operating stack that ties a lot of this together you will have to go out and create some defensive comparison and proactive messaging to your customer set people are going to make tooling decisions in the next 6 months and stuck with them for 24 years,6/3/2020,Advice,Messaging,2020.2,FY21 Q2
29,Sid Nag,Cloud (VCPP),yes youll have to think about how to position against some of the capabilities that cloud brokers are doing look at accenture cloud platform or a multicloud manager from ibm or a service mesh or aginity from exc or cloud360 from cognizent they have some of these functions so you want to make sure that you are positioned competitively against those providers as well,6/3/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
30,Mike Dorosh,Cloud (VCPP),or complimentary against those providers as well thats the other part of it a lot of this stuff can be plugged into a lot of those platforms,6/3/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
31,Mike Dorosh,Cloud (VCPP),to the tooling piece ibm dxcl the big guys would much rather integrate 80 percent into that 20 percent the other end of the scale the smaller and midsize providers still see value in tooling ip i think the play here is one of market education good briefing,6/3/2020,Neutral,Marketing Awareness,2020.2,FY21 Q2
32,Eugene Quillen,Cloud (VCPP),up until recently we didnt see a lot of vcpp deals vmwareare is forcing us to drop our elas and join vcpp they were comfortable with the old model,6/5/2020,Neutral,Partnerships,2020.2,FY21 Q2
33,Eugene Quillen,Cloud (VCPP),whats unique is that some customers dont fall into the cloud provider bucket and theyve been told even for their own internal needs they will need to go to the vcpp model,6/5/2020,Neutral,Partnerships,2020.2,FY21 Q2
34,Eugene Quillen,Cloud (VCPP),you said you dont require it thats really different from what we are hearing from clients their account folks are saying they dont have a choice and have to go on vcpp,6/5/2020,Neutral,Partnerships,2020.2,FY21 Q2
35,Eugene Quillen,Cloud (VCPP),its coming from lots of different clients an educational client government maybe service providers who dont do it for their own internal use but using it all on the consumption model they are being told they have one choice only if they are providing internal services to a shared services organization they could still go ela for that type of usage,6/5/2020,Neutral,Partnerships,2020.2,FY21 Q2
36,Mark Lockwood,VMC on AWS,theres an elephant in the room here and that is that you are competing with yourself what is vmwareares advice to customers who are considering horizon on vmware cloud on aws vs horizon cloud  they are two offerings providing a similar outcome of windows 10 desktops i wanted to get your idea of where your customers are landing but it sounds like they are landing on both sides depending on what they want,6/15/2020,Neutral,Features or products (included/missing/recommended),2020.2,FY21 Q2
37,Julia Palmer,VMC on AWS,is it safe to assume that the majority of the implementations are in aws or do you have breakdown versus outside of aws the majority of our customers are talking about vmc on aws i know you are supported on multiple clouds,6/15/2020,Positive,Adoption,2020.2,FY21 Q2
38,Eugene Quillen,VMC on AWS,aws has set up these enterprise contract terms that are reasonably acceptable to clients as well as to the isvs it facilities customers signing up to that enteprrise agreement once and no matter what vendor they deal with theyve already got prenegotiated terms they dont have to negotiate with you and every other vendor that sales on the marketplace its one set of terms that applies to everyone universally that they are doing business with,6/16/2020,Neutral,Pricing/packaging,2020.2,FY21 Q2
39,Eugene Quillen,VMC on AWS,i havent had any customers tell me that they found it awkward or anything so its working obviously i just worry that there could be a relationship problem here if they decided to go with aws that it would impact the help and support they get from the other things it sounds like you made that really not the case,6/16/2020,Positive,Partnerships,2020.2,FY21 Q2
40,Eugene Quillen,VMC on AWS,i appreciate you taking the customer first perspective its not always the case it sounds like youve been successful at it so from someone else who is focused on serving those customers i really do appreciate that and your time to share your story and your system and solution go to market are going out the door and how they are working and what your plans are,6/16/2020,Positive,Customer Related,2020.2,FY21 Q2
41,Michael Warrilow,Outpost (VMC on AWS),why vmc on aws outposts vs vmc on dell emc i understand one is going inward to outward and this is sort of the opposite i think educating customers or prospects around that is going to be a bit of a challenge,6/30/2020,Neutral,Customer Related,2020.2,FY21 Q2
42,Michael Warrilow,Outpost (VMC on AWS),youve got 4000 partners who can manage the infrastructure on a customers behalf you can certainly have the same management tools for that the workload portability comes along for the ride in any vmwareare combination i guess the sddc piece in the righthand one it really only seems getting a cloudstyle consumption on prem,6/30/2020,Neutral,Features or products (included/missing/recommended),2020.2,FY21 Q2
43,Michael Warrilow,Outpost (VMC on AWS),regarding a comparison document between vmc on aws outposts vs dell emc its not so much the best child its more picking the right option for your child,6/30/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
44,Carl Brooks,VMC on AWS,but it vmc on aws neatly hit the spot between demand for cloud transformation and migration   the great majority of enterprises have engaged in significant cloud computing deployments according to fourfiveone researchs voice of the enterprise survey data  and a great deal of that consumption was slated for aws ,6/24/2020,Positive,Use cases,2020.2,FY21 Q2
45,Neil MacDonald,Networking,zerotrust network access is doing well vmwareare needs this solution,6/2/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
46,Neil MacDonald,Networking,citrix is doing well because of covid,6/2/2020,Advice,BC/COVID-19,2020.2,FY21 Q2
47,Neil MacDonald,Security ,zscaler  private access skyrocketed during covid ,6/2/2020,Advice,BC/COVID-19,2020.2,FY21 Q2
48,Neil MacDonald,Security ,cisco is a mess products all over the place too many silos opportunity for vmwareare to capitalize,6/2/2020,Advice,Competitive mentions/intel,2020.2,FY21 Q2
49,Neil MacDonald,Security ,ztna is timely because of covid filtering secure gateway technologies this was zscalers claim to fame and now they are expanding into other areas ,6/2/2020,Advice,BC/COVID-19,2020.2,FY21 Q2
50,Neil MacDonald,Security ,secure web gateway functionality is high on need list as well,6/2/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
51,Neil MacDonald,Security ,security aas offering is also recommended ,6/2/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
52,Neil MacDonald,SD-WAN,neil predicts a sdwan collision course zscaler will start to ask customers why they need dswan just let them take care of it with their solutions dont need a pointtopoint tunnel azure wan and zscaler will capitalize on customers that dont useneed sdwan  ,6/2/2020,Neutral,Strategy,2020.2,FY21 Q2
53,Neil MacDonald,SD-WAN,users need access to stuff access fabric if built out will also benefit ws1 ws1 access fabric ztna sdwan all need to come together secure web gateway and casb ,6/2/2020,Advice,Strategy,2020.2,FY21 Q2
54,Neil MacDonald,Security ,siem  vmwareare falls short of a siem solution siem may be a line to cross would run into google and msft ,6/2/2020,Advice,Strategy,2020.2,FY21 Q2
55,Neil MacDonald,Security ,exabeam  user behavior siem then have a strong xdr story could sell independent of siem ,6/2/2020,Advice,Strategy,2020.2,FY21 Q2
56,Neil MacDonald,Security ,sumo logic doesnt have a cloud offering ,6/2/2020,Advice,Strategy,2020.2,FY21 Q2
57,Neil MacDonald,Security ,securonix  leader with second strongest vision in the siem mq,6/2/2020,Advice,Strategy,2020.2,FY21 Q2
58,Neil MacDonald,Security ,netskope  web gateway is shipping casb adding ztpa made acquisition for remote browser isolation technology ,6/2/2020,Advice,Strategy,2020.2,FY21 Q2
59,Neil MacDonald,Security ,menlo security  one trick pony,6/2/2020,Advice,Strategy,2020.2,FY21 Q2
60,Josh Zelonis,Networking,timing of lastline is incredible investing in nav for visibility applaud your vision in doing this lastline is a good technology ,6/4/2020,Advice,Strategy,2020.2,FY21 Q2
61,Josh Zelonis,Networking,feel vmwareare is missing an opportunity with lastline focus was more on ndr and did not include xde,6/4/2020,Advice,Strategy,2020.2,FY21 Q2
62,Josh Zelonis,Security ,vendors are easily leaning on existing customer base so can be recognized winning deals by saying xdr is future proofing and giving better understanding what is going on in environment ,6/4/2020,Advice,BC/COVID-19,2020.2,FY21 Q2
63,Josh Zelonis,Security ,cannot move from edr to xdr without network and logs  vmwareare need to combine data lakes,6/4/2020,Advice,Strategy,2020.2,FY21 Q2
64,Josh Zelonis,Security ,providing a federated data lake would differentiate vmwareare from competitors single pane of glass is important ,6/4/2020,Advice,Strategy,2020.2,FY21 Q2
65,Josh Zelonis,Security ,xdr is a bottoms up approach siem is a top down approach ,6/4/2020,Advice,Strategy,2020.2,FY21 Q2
66,Josh Zelonis,Security ,josh believes xdr and siem are headed for collision ,6/4/2020,Advice,Strategy,2020.2,FY21 Q2
67,Josh Zelonis,Security ,be more forward thinkingdont go after siem  you are the siem  you just need to bring all of the pieces together ,6/4/2020,Advice,Strategy,2020.2,FY21 Q2
68,Josh Zelonis,Security ,appears sanjay is the overall security vision but the pillars are being led by multiple different bus not cohesive,6/4/2020,Negative,Messaging,2020.2,FY21 Q2
