,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
1170,Alan Waite,Cloud Foundation,vmwareare is a key player to enable users to shift to the hybrid cloud whether its through the dev team or it operations being able to provide that common management plane for organizations to go between onpremises data centers and multiple public clouds i think thats going to be really well received,3/10/2020,Positive,Marketing Awareness,2020.1,FY21 Q1
1171,Alan Waite,Cloud Foundation,hybrid cloud is a vague term that does not allow enough granularity for implementation planning by cloud and infrastructure professionals its more a marketing term than anything else,3/10/2020,Neutral,Messaging,2020.1,FY21 Q1
1172,Phil Hochmuth,Workspace ONE,with daas offerings it makes sense that customers use one vendor for both the management and their security solution but you should expect friction in large enterprises since the buying centers are different for management and security,3/10/2020,Advice,Customer Related,2020.1,FY21 Q1
1173,Phil Hochmuth,Workspace ONE,the more you can show the value of the whole solution  management and security endtoend visibility that customers can get you can scoop up former symantec and mcafee customers,3/10/2020,Advice,Customer Related,2020.1,FY21 Q1
1174,Andrew Hewitt,Workspace ONE,not surprised to hear about horizon cloud growth given the current environment wcoronavirus met recently with jeff mcgrath to discuss,3/10/2020,Positive,Customer Related,2020.1,FY21 Q1
1175,Andrew Lerner,SD-WAN,client calls on sdwan are high but have stabilized  run rate of about 800 to 1000 calls a year   a huge number in context,3/9/2020,Neutral,Adoption,2020.1,FY21 Q1
1176,Andrew Lerner,SD-WAN,in terms of visibility ciscos  1 velocloud 2 silver peak 3  unaided mentions from customers the rest of the market is versa fortinet carriers and cloudgenix  most relevant names,3/9/2020,Neutral,Competitive mentions/intel,2020.1,FY21 Q1
1177,Andrew Lerner,SD-WAN,in the previous six months to the current six months the visibility for velocloud went down cisco was the same versa and fortinet  went up but the carrier mentions went up   aware that our gtm is highly tied into msp   speculating to equate drop into another trend theyre seeing which is more managed services   much less diy sdwan deals,3/9/2020,Neutral,Competitive mentions/intel,2020.1,FY21 Q1
1178,Andrew Lerner,SD-WAN,a lot of the growth in  managed network services telcos and international   latam europe apac a little behind at least china,3/9/2020,Neutral,Adoption,2020.1,FY21 Q1
1179,Andrew Lerner,SD-WAN,seeing a realization that customers shouldnt count on sdwan saving money but its going to make their cloud apps go better,3/9/2020,Neutral,Customer Related,2020.1,FY21 Q1
1180,Andrew Lerner,SD-WAN,cloud is central to the discussions  by a factor of five to one of i need to save money,3/9/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1181,Andrew Lerner,SD-WAN,security is even more prominent in these discussions   becoming a bigger differentiator in who people select evinced by the end user mentions why versa and fortinet are now very prominent   sase is part of the discussion  10 or 15 of sd wan calls directly go to sase where the client actually mentioned sase,3/9/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1182,Andrew Lerner,SD-WAN,the product feature gaps are shrinking  there are still some very prominent solutions missing features that matter but find less of the conversations with clients focused on specific features and feature gaps,3/9/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1183,Andrew Lerner,SD-WAN,conversation about sdbranch picking up which gartner doesnt recognize as an official term but probably soon will,3/9/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1184,Andrew Lerner,SD-WAN,two ways to compete in this market as a vendor you could compete on feature depth or on management breadth   it was 10 of calls now its more like 20 25 of the calls  driven by hp aruba meraki   would like to hear how nyansa helps,3/9/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1185,Tony Iams,Tanzu Observability,large enterprises are undergoing a transition we see in the past six months that a lot of our clients are starting to roll out containers at scale observability and monitoring is part of it but security is the higher priority monitoring is there but hugely pushed down for now as we see more maturity monitoring will be a higher priority,3/9/2020,Advice,Adoption,2020.1,FY21 Q1
1186,William Martorelli,Management (vRealize),there is significant uptake in saas operations you can argue many vendors have tried it  but its really loose,3/9/2020,Advice,Adoption,2020.1,FY21 Q1
1187,William Martorelli,Management (vRealize),it does seem like we are getting questions around license management and saas organizational structure the idea of how to maintain saas consistency   we are in the beginning of standardization and starting to address,3/9/2020,Advice,Adoption,2020.1,FY21 Q1
1188,Liam Rogers,Management (vRealize),with regard to vrealize and tanzu  i get it  it ultimately comes down to user preference and their environment,3/9/2020,Positive,Strategy,2020.1,FY21 Q1
1189,Padraig Byrne,Management (vRealize),padraig understand its based on personas but its hard to tell and guide which tool to use for vrops and cloudhealth,3/9/2020,Negative,Strategy,2020.1,FY21 Q1
1190,Mike Toussaint,SD-WAN,tim hortons is a good one for you because a lot of those simple sd wan have been going to  cradlepoint that has a large footprint in very simple gas stations,3/6/2020,Positive,Customer Related,2020.1,FY21 Q1
1191,Mike Toussaint,SD-WAN,from inquiries now its not so much an academic conversation on sd wan as we are  actually seeing deployments,3/6/2020,Neutral,Adoption,2020.1,FY21 Q1
1192,Mike Toussaint,SD-WAN,velocloud is definitely one of the top inquiries by volume  velocloud silver peak cloudgenix and fortinet top four thats just enterprise  excluding service providers we take it as a given,3/6/2020,Positive,Competitive mentions/intel,2020.1,FY21 Q1
1193,Mike Toussaint,SD-WAN,what youre showing us is very much in line with the strong sales figures that we expect to see from you if were not seeing direct deals that are sent to us for review we are seeing that you are always on the short list of sdwan  i dont think ive seen a couple of deals this year or last year where velocloud wasnt  mentioned i would take that as an excellent thing  you guys are doing the right things,3/6/2020,Positive,Adoption,2020.1,FY21 Q1
1194,Mike Toussaint,SD-WAN,on nyansa,3/6/2020,NA,Features or products (included/missing/recommended),2020.1,FY21 Q1
1195,Mike Toussaint,SD-WAN,get a lot of customers talking about visibility into the application layer how to deploy an intelligent fabric being able to provide better user experience is where the need for tools is a big deal,3/6/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1196,Mike Toussaint,SD-WAN,tools have to be easy pervasive and relevant though ai is still lagging behind in adoption   we felt that we would have seen more adoption because its going to make life easier if we can be we can put this thing on like a tesla autopilot and it can break fix and do some selfhealing and tell you whats wrong and even possibly even fix it   we thought that that would have been a faster adoption theres a cultural disconnect right now not driving it,3/6/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1197,Mike Toussaint,SD-WAN,you need to help drive adoption reduce the pushback from the traditional folks we agree thats a direction you should go with were very excited about this direction we think nyansa is an excellent integration,3/6/2020,Positive,Features or products (included/missing/recommended),2020.1,FY21 Q1
1198,Mike Toussaint,SD-WAN,help customers learn how its done because these tools are the direction that you want to be going integrate as much of this into the daily operation experience of your products if it becomes the norm and then the norm gets accepted as the norm over time rather than being rejected,3/6/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1199,Natalya Yezhkova,HCI/vSAN,hosted private clouds and selfoperated hyperconverged private clouds are growing in prevalence compared to 2018 27 and 41 respectively,3/6/2020,Neutral,Adoption,2020.1,FY21 Q1
1200,Natalya Yezhkova,HCI/vSAN,hybrid cloud infrastructure   now the dominant pattern at enterprise it environments,3/6/2020,Neutral,Customer Related,2020.1,FY21 Q1
1201,Mark Lockwood,As a Service,you do not have time to stand up vdi at this point in the face of a pandemic nows not the time to start you are going to need to go to desktop as a service which is available from many good providers like amazon citrix microsoft vmwareare each of those have unique attributes but they will provide you with windows 10 desktops your image if you desire so you dont have to host or purchase servers storage and networking,3/5/2020,Positive,BC/COVID-19,2020.1,FY21 Q1
1202,Mark Lockwood,Horizon,if you have vdi and extra capacity and your control plane for vdi this is citrix cloud or vmwareare horizon cloud is cloud based then you have a choice you can deploy daas by itself you can deploy hybrid meaning you can expand your existing on premises vdi into cloudbased desktops  or you can just utilize your extra capacity and deploy more vdi,3/5/2020,Positive,BC/COVID-19,2020.1,FY21 Q1
1203,Joe Skorupa,SD-WAN,you guys are executing and thats the big deal ,3/5/2020,Positive,Marketing Awareness,2020.1,FY21 Q1
1204,Joe Skorupa,SD-WAN,the challenge is youre going to see the att come back harder in the big accounts  bundling transport and sdwan because theyre not happy with the over the top guys poaching their business in very big accounts relationships with the atts and verizons are going to remain important but its still very much a diverse set of channels that you have to go to market,3/5/2020,Neutral,Partnerships,2020.1,FY21 Q1
1205,Joe Skorupa,SD-WAN,keep your eye on netskope they clearly intend to do interesting stuff there and if you dont have integration with them already youre going to want to do something with them on the gtm side,3/5/2020,Neutral,Competitive mentions/intel,2020.1,FY21 Q1
1206,Joe Skorupa,SD-WAN,cisco continues to be a mess and its going to get worse if they try and add features to viptella,3/5/2020,Neutral,Competitive mentions/intel,2020.1,FY21 Q1
1207,Joe Skorupa,SD-WAN,fortinet seems to be behind in their cloud thinking theyre still very much box oriented,3/5/2020,Neutral,Competitive mentions/intel,2020.1,FY21 Q1
1208,Matt Eastwood,Tanzu,i get your tanzu message of infrastructure upapp down mapbu more app dev oriented cpbu more infrastructure oriented,3/5/2020,Positive,Messaging,2020.1,FY21 Q1
1209,Matt Eastwood,Tanzu,wondered about whether vmwareare will integrate cloudhealth and vrealize into the tanzu portfolio,3/5/2020,Neutral,Strategy,2020.1,FY21 Q1
1210,Stephen Elliot,vSphere 7 with K8s,this is a big deal from a company standpoint your sales folks and developers arent used to thinking like this and youre attacking it from the infrastructure up and apps down sides it will be fascinating to see driving linkages from your core strengths youll have to answer for developers why should i care and how do you make my life easier what problem are you solving for me today they have lots of problems they have traditionally solved with having 54 tools and they dont want to be told what to use will be fascinating to see which groups of developers come on board these developers are so saturated with marketing messages its an interesting opportunity and a big role is some of your partners not the telcos accenture and dxc have dev ops practices take those folks and harness their work with you a lot of work here partner development sales teams big step for the company this will be a digestion year for your customers,3/5/2020,Advice,Adoption,2020.1,FY21 Q1
1211,Stephen Elliot,vSphere 7 with K8s,its reasonable to say there could be some it spend slowdown this year or a recession vmwareare should look at this model and think about use cases this is about productivity increases and cost optimization you get more out of who you have in the past two recessions this has worked very well with cios havent had to hire more people etc id be hyperaggressive get the attention of people willing to bet on this story tell them what youve done with some early customers,3/5/2020,Advice,Messaging,2020.1,FY21 Q1
1212,Stephen Elliot,vSphere 7 with K8s,"regarding a downturn vmwareare has built its brand on the production mindset with a lot of the shops we talk with around kubernetescontainers you dont always get that its typically around 500 containers when they start thinking about management i might have to buy something or extend something i have around the container architecture its a brand opportunity for you particularly with large enterprises especially if we go into an economic slowdown cios will be asked to cut a percent or two and theyl think  where do i cut that were doing a lot in aws one of two things will happen1	theyre going to cut from aws because its all experimentation and theyre not getting a business return or2	they will put more on aws architecture to get out of private cloud",3/5/2020,Advice,Competitive mentions/intel,2020.1,FY21 Q1
1213,Matt Eastwood,vSphere 7 with K8s,as an industry weve trained people to think about the economics of the people and processes involved in managing infrastructure need to pivot to the application piece weve talked about servers under management or capacity now were seeing customers who will see their app portfolios doubling in 4 years they have to think about the economics of that both the it ops side and the developer side are real in recessionary times people tend to run their systems hotter and harder,3/5/2020,Neutral,Messaging,2020.1,FY21 Q1
1214,Mary Johnston Turner,vSphere 7 with K8s,regarding as a vi admin instead of looking at 1000 vms im looking at 12 dozen logical applications namespaces the new unit of management inside vcenter if i want to define a new rule set a resource limit define a policy i can do it on the namespace overall when i and it takes place on all the objects inside the namespace a single admin can handle many more applications mjt what you just said about how youre fundamentally changing the operational daytoday experience and productivity of the admin is really really important this is the first time ive heard this articulated so clearly as you go forward with this i really encourage you to bring that out its a fundamental benefit that can get lost because of all the cool technology thats involved here,3/5/2020,Positive,Messaging,2020.1,FY21 Q1
1215,Matt Eastwood,vSphere 7 with K8s,the legacy and heritage of vmwareare has always been about empowerment and youre doing that again here,3/5/2020,Positive,Strategy,2020.1,FY21 Q1
1216,Matt Eastwood,BitFusion,this could really help increase the consumption of gpus,3/5/2020,Positive,Customer Related,2020.1,FY21 Q1
1217,Paul Parker-Johnson,Telco-Cloud,opportunity to clarify confusion in market on selecting vcloud nfv which includes vio pauls commentary in a briefing indicates he and the market may still be confused and considers the option of selecting vcloud nfv vs openstack vio when in actuality vmwareare vio is part of and supported within the vcloud nfv ie the telco cloud platform,3/5/2020,Negative,Adoption,2020.1,FY21 Q1
1218,Matt Pooley,Telco-Cloud,your telco cloud differentiation with the neps is clear and justified but you could do more to clarify how you differentiate from say red hat,3/4/2020,Neutral,Messaging,2020.1,FY21 Q1
1219,Glenda Morgan,All Products,i really loved what you did with the ale in terms of the labs and such higher ed in general needs to reduce the footprint on campus so thats huge,3/4/2020,Positive,Use cases,2020.1,FY21 Q1
1220,Mark E. Gilbert,All Products,thinks that epic and cerner would love to have everyone standardized but i think thats unrealistic both from a cost and performance perspective so were going to move into an era of hybrid multiple core systems suggests a role for vmwareare when someone has both a cerner and epic implementation and wants to know if vmware can bridge the two,3/4/2020,Advice,Use cases,2020.1,FY21 Q1
1221,Mark E. Gilbert,All Products,vmwareare geh offerings are very very good i will pay more attention to you guys poke around a little bit more and keep my ear open as i move forward keep us in tune with any updates,3/4/2020,Positive,Strategy,2020.1,FY21 Q1
1222,Chris Gardner,vSphere 7 with K8s,i used to be a vmwareare admin the namespace functionality grouping all the objects that together are a logical application from vmware on the vm side was amazing except populating it was always a challenge when this was in the realm of an io person having to create it and manage it they never did a good job but whenever it was the developers who manage it and make the changes and say these pieces link to form an application in my experience it was a much  better situation regardless having the functionality is pretty darn good the developer manages what is grouped into a namespace to indicate a logical application in vsphere 7 with kubernetes  maybe im geeking out a little bit i like this granted there are other ways to do stuff like this through other construction layers but i like that you guys are folding it into the classic vmware admin capabilities and saying this is an additional thing you need to know because its important to your developers,3/3/2020,Positive,Developer Strategy,2020.1,FY21 Q1
1223,Dave Bartoletti,vSphere 7 with K8s,regarding it setting up namespaces for logical applications and developers being in charge of putting vms  containers into the namespace for that logical app he thinks developers will say i dont want to do this i dont have to do this in aws i dont have to call the admin at aws and have them define a space for me to do this stuff youre asking to step back and go back to the old days submit a ticket to create a namespace j rosoff pointed out you can set up permissions to allow the developer to set up their own namespaces,3/3/2020,Negative,Developer Strategy,2020.1,FY21 Q1
1224,Dave Bartoletti,vSphere 7 with K8s,i think as usual this makes an amazing amount of sense to me for someone who needs to be building kubernetes clusters in their data center to start rolling out applications its the multicloud aspect where it gets confusing you dont want to focus on just one market especially an onprem market thats the challenge that customers are going to face do i want to extend the way i manage infrastructure and apps in my data center to cover everything wherever it runs i think thats a question chris gardner and i will be getting from our clients a lot but that question has been the same since the beginning of cloud do i move application monitoring do i buy thousands of more licenses for onprem application monitoring tools to monitor my apps in the cloud or do i buy native cloud monitoring tools yes i have multiple tools and theyre all designed for the places i am using them j rosoff pointed out tkg is our true multicloud k8s distro and this is for people wanting to use k8s on prem,3/3/2020,Negative,Strategy,2020.1,FY21 Q1
1225,Dave Bartoletti,vSphere 7 with K8s,youre going to have to rebuild a bunch of faas databases messaging service mesh all on top of this to give developers the same sort of experience they would get natively in the public cloud the real action here is were not trying to change how developers build apps in the public cloud were trying to change how it can operate the stuff they produce response in part rather than trying to recreate all those services ourselves were going to embrace the ecosystem here and try to leverage all the development thats happening on those isvs to bring bestinclass services anywhere you have this platform,3/3/2020,Negative,Strategy,2020.1,FY21 Q1
1226,Al Gillen,Bitnami,many customers may want to run on rails or suse you may consider extending the tanzu application catalogue to include them could be as much as 50 of the market there with that requirement you would need to consider a resell license offering in the catalogue,3/3/2020,Advice,Strategy,2020.1,FY21 Q1
1227,Al Gillen,Bitnami,there is a lot of need for the tanzu application catalog im not ware of anyone who is packaging it this way with autosupported dev artifacts that are tracked and maintained these fixes need to be propogated throughout the system most pple dont have a good change management system and it can enable hacks like equifax for example,3/3/2020,Positive,Competitive mentions/intel,2020.1,FY21 Q1
1228,Joe Skorupa,Veriflow,veriflow is not close to doing what apstra does veriflow is nice at telling you what you have apstra will provide more detailed insights,3/2/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1229,Joe Skorupa,Networking,on tom laying out his vision for project anarchy  i think this is this is really interesting when you guys lay this out you absolutely want to be sure that you paint the broader vision,3/2/2020,Neutral,Strategy,2020.1,FY21 Q1
1230,Rick Parrish,All Products,rick parrish said a lot of federal clients are trying to avoid a multicloud strategy one item in the report that may have generated the most interest is our mention that its ok to have a multicloud environment a lot of government organizations have been trying to avoid that,3/2/2020,Neutral,Use cases,2020.1,FY21 Q1
1231,Bruno Teyton,Telco-Cloud,the vast majority of european csps have started virtualization in specific network domains mobile core enterprise services etc but with fiveg and telco cloud at the horizon they need to accelerate and adopt a holistic strategy technology suppliers must show their value and help csps to overcome challenges in technology dimensions as well as in organization skills and ecosystem management he forecasts europe nfvs revenue cagr in europe to be 338 between 20182023,2/28/2020,Neutral,Adoption,2020.1,FY21 Q1
1232,Angelina Troy,Cloud (VCPP),disaster recovery is becoming a more common theme than it has in the past typical conversation were moving to cloud were going to have less stuff on prem could we get to the point where we could close our secondary data center it is the most common theme that i end up having around that the second most common is that we would like to do dr as the first stepping stone in a path to  migrating to the public cloud,2/28/2020,Neutral,Strategy,2020.1,FY21 Q1
1233,Angelina Troy,Cloud (VCPP),as that relates to various vmwareare services i would say that at this point im roughly willing to say that if people are aligning to aws as their public cloud provider of choice theyre also roughly speaking aligning to vmc on aws i have more conversations where someone says hey im rehosting a bunch of stuff i want to know what is the process what are the tools where does vmc on aws make sense or does cloud simple and azure make sense its a more common point of the conversation that being said the number of inquiries i take specific to vmc on aws or cloud simple that hasnt gone up actually but its become a more common point of discussion in other calls that are more generally about cloud migration,2/28/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1234,Angelina Troy,Cloud (VCPP),i talk to more rehost people than my colleagues i take a good portion of rehost calls in the overall scheme of calls that touch on cloud migration i think 5060 involve a fairly significant rehost effort leaning toward the majority of it i would say somewhere between 4050 are thinking we are going to go much more heavily in the paas direction,2/28/2020,Neutral,Customer Related,2020.1,FY21 Q1
1235,Angelina Troy,Cloud (VCPP),ive run into three profiles to the cloud 1 the group that is cloudonly which is moving everything to the cloud 2 cloud first which is moving something to the cloud and default it to the cloud 3 cloud opportunistic which is if it makes sense well move it to the cloud i see cloud opportunistic orgs more and more,2/28/2020,Neutral,Customer Related,2020.1,FY21 Q1
1236,Angelina Troy,Cloud (VCPP),its getting to the point where everybody i talk to has some sort of cloud strategy it may not be wholly baked but theyve got one at this point its getting harder and harder for me to run into somebody who doesnt already have something in iaas or paas it doesnt have to be much but its hard to find something who doesnt have some stuff up there testing it or otherwise on the more governance pieces in the cloud first strategy i would say that most of them have a good landing zone at least they may not have been too far into putting applications there but they have something that they are willing to call a production grade landing zone more than half of them have something like that in that cloud first bucket its almost impossible for me to find somebody that doesnt have saas,2/28/2020,Neutral,Customer Related,2020.1,FY21 Q1
1237,Angelina Troy,Cloud (VCPP),among those who want to be 100 cloud almost to a person they are early in their adoption process i usually start off the conversation with most people change their minds once reality sets in most groups realize that this didnt make a whole ton of sense the exception might be small medium businesses where it actually is feasible to do so the overwhelming majority of them are of that early adopter were going to go gungho cloud and i would bet money that a year and a half from now they will see that didnt work out and they definitely scaled that back,2/28/2020,Neutral,Customer Related,2020.1,FY21 Q1
1238,Angelina Troy,VMC on AWS,regarding the vmwareare cloud offerings comparison draft report vmc on aws did very well you only had a single low on configuration flexibility it came down to something you will roll out later this year   the flexibility to use the ebs storage for any configuration  that would bump you up to a medium on that point otherwise you are at mediums and highs for everything which is the best among the vendors outside cloud provider integration so you are doing pretty well,2/28/2020,Positive,Competitive mentions/intel,2020.1,FY21 Q1
1239,Angelina Troy,VMC on AWS,vmc on aws management operations   because you have elastic drs you have a really cool elasticity bit good scalability ibm has a little more scalability on the high end,2/28/2020,Positive,Features or products (included/missing/recommended),2020.1,FY21 Q1
1240,Angelina Troy,VMC on AWS,vmc on aws availability and support   i have to commend you for having the best support structure ibms also up there,2/28/2020,Positive,Features or products (included/missing/recommended),2020.1,FY21 Q1
1241,Angelina Troy,VMC on AWS,conversation with aws on provisioning criteria aws was a bit focused on ease of provisioning which wasnt really the intention provisioning aspect was in relation to primarily the cloud providers template technologies like cloud formation in your case,2/28/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1242,Angelina Troy,VMC on IBM,ibm performs well in flexibility of configuration as well as they match you on global availability since they are in a lot of different places they also have a lot of configuration flexibility because they do customize a fair bit but that gives them some issues on cluster elasticity and some of the scalability on the low end so theres a trade off there they have really good configuration options,2/28/2020,Neutral,Competitive mentions/intel,2020.1,FY21 Q1
1243,Angelina Troy,VMC on Microsoft,microsofts big thing is their cloud provider integration i would say they are the best in that area overall they are middle of the road for most other things the one that bummed me out is that they havent rolled this out to be much of a footprint on azure quite yet i mean come on,2/28/2020,Neutral,Competitive mentions/intel,2020.1,FY21 Q1
1244,Michael Warrilow,Cloud (VCPP),during a vmwareare cloud provider update google by cloud simple was a bit of a cunning move and a disruption to what microsoft does a big one really what virtustream is doing   do you guys get involved in that microsoft made a solid commitment and it kind of felt like they got the rug pulled out from under them i cant imagine it having occurred without cloud simple as that middle man in the first place now that its established youre probably right its not needed anymore if i was google and i wanted to be nasty it would be a good way to throw a wrench into microsoft its something ill discuss with clients trying to choose between various vmware hyperscalers,2/27/2020,Neutral,Competitive mentions/intel,2020.1,FY21 Q1
1245,Pam Miller,Cloud (VCPP),during a vmwareare cloud provider update as we see providers moving more and more to the edge things become very customized for the use case were actually seeing that in central data centers the smaller guys are going to be increasingly focused at the edge they will have to have customized services on top of your services interestingly a study that we did last june and im getting ready to start to field it again one of the top characteristics of why they focus on vmware as one of their prime vendors is because of the ability to extend your products and services and have tech support behind that good vote of confidence but i think keeping those partners in mind while you do these things is really important and not just focusing on the biggest guys it sounds like you are but its just really strategic to get the capabilities out there and enablement of the partners really extending your services so when the edge really pushes up into everyones face you have a team of people who can manage it,2/27/2020,Advice,Partner readiness,2020.1,FY21 Q1
1246,Pam Miller,Cloud (VCPP),during a vmwareare cloud provider update when you talk about dr and some of the common use cases you need to create a higherlevel platform to allow your providers to extend what youre doing to make it speak to what the customers look for i know you guys do that you need to do it in a way that simplifies how a provider or partner of what they need to do to get the extension simplifying blueprints etc unique to the customer than dr that everyone needs,2/27/2020,Advice,Use cases,2020.1,FY21 Q1
1247,Pam Miller,Cloud (VCPP),during a vmwareare cloud provider update i dont think any one vendor is going to be able to do all of those use cases so its going to be looking to your partners to be able to extend to those use cases and give them a higherlevel platform to do development on that 20 but that 20 makes it usable by a customer its a really important concept to look to your partners to get to more use cases instead of trying to get to all of those use cases yourself  i think this is critical to maintain the position you are developing if its too complex and somebody can come in with something thats simpler they win you have to provide this salesforce is a perfect example this is the right path,2/27/2020,Advice,Use cases,2020.1,FY21 Q1
1248,Daniel Bowers,Cloud Foundation,vmwareare cloud on dell emc   you and dell talk about them very differently and often say the other is wrong its almost like youre talking about a different solution thats how far apart you are,2/27/2020,Negative,Messaging,2020.1,FY21 Q1
1249,Steve Brasen,Security,every device needs to be treated as a byod device used for personal usage as 90 use device to do personal tasks so its as much risk as if the enterprise owns the device,2/27/2020,Neutral,Strategy,2020.1,FY21 Q1
1250,Steve Brasen,Security,if vmwareare provided a solution to treat all devices as byod rip and replace is a hard sell but it will increase survey shows ex has moved up from 9 and 15 from years before,2/27/2020,Advice,Strategy,2020.1,FY21 Q1
1251,Steve Brasen,Security,on consumerization of it  trending toward one identity to rule them all,2/27/2020,Neutral,Strategy,2020.1,FY21 Q1
1252,Steve Brasen,Security,not a fan of zero trust as the term is overused but i like your definition and not the definition that others at rsa would use today the term is synonymous with security decisionmakers for identity dont buy it and feel its a marketing term,2/27/2020,Positive,Messaging,2020.1,FY21 Q1
1253,Steve Brasen,Security,dont undersell carbon black as its a very wellknown brand while vmwareares workspace one has security vmware is not well known in the market but carbon black is,2/27/2020,Advice,Strategy,2020.1,FY21 Q1
1254,Steve Brasen,Security,on security you certainly see more of the landscape than the other players,2/27/2020,Positive,Features or products (included/missing/recommended),2020.1,FY21 Q1
1255,Arun Chandrasekaran,Service Mesh/NSX Svc Mesh,tons of security inquiries 200300 past couple of years neil macdonald may have taken a lot more than me networking doesnt come up as much honestly but monitoring does come up and observability around networking what often comes up vendors on the left claim they can do the right side,2/27/2020,Neutral,Adoption,2020.1,FY21 Q1
1256,Arun Chandrasekaran,Service Mesh/NSX Svc Mesh,i didnt know you were supporting open shift i was under the opinion you supported pks and pure upstream kubernetes was t aware you supported nonvmwareare distros as well,2/27/2020,Neutral,Features or products (included/missing/recommended),2020.1,FY21 Q1
1257,Dave Bartoletti,Tanzu,tanzu prebrief  you still have a lot of management pieces to build to compete with the public cloud your major competitors are redhat and all the cloud providers however there is a market for those who cannot use the public cloud your other competitors the entire cnf chart we used to say diy but we dont know what this stack for internal use really looks like,2/27/2020,Negative,Competitive mentions/intel,2020.1,FY21 Q1
1258,Enrico Signoretti,VMC on AWS,you talk about vcf as the ubiquitous hybrid cloud platform but you focus on vmwareare cloud on aws far more than your other partners and i get it its managed and delivered by vmware but you should still mention the other solutions often enough so customers understand they have options and that vmware works with so many different partners to give the customers choice what they want,2/27/2020,Neutral,Messaging,2020.1,FY21 Q1
1259,Michael Warrilow,Cloud (VCPP),during a vmwareare cloud provider update you guys are performing so steady as she goes is the right way,2/25/2020,Positive,Strategy,2020.1,FY21 Q1
1260,Michael Warrilow,Cloud (VCPP),during a vmwareare cloud provider update im starting to take vmc reviews and i dont want to underrepresent the cloud verified they have some clear value propositions and i dont want our clients to get lost in all of the sexy fizzle of amazon and microsoft etc,2/25/2020,Neutral,Marketing Awareness,2020.1,FY21 Q1
1261,Bob Laliberte,Carbon Black,when you talk about lifecycle manager and how it so much more efficient doing updgrades etc  being able to quantify that and tying it into an ops productivity narrative will be a great opportunity,2/25/2020,Neutral,Messaging,2020.1,FY21 Q1
1262,Bob Laliberte,Cloud Foundation,vmwareare is a key player to enable users to shift to the hybrid cloud whether its through the dev team or it operations being able to provide that common management plane for organizations to go between onpremises data centers and multiple public clouds i think thats going to be really well received,2/25/2020,Positive,Messaging,2020.1,FY21 Q1
1263,Bob Laliberte,HCI/vSAN,i loosely refer to hci as the hybrid cloud infrastructure  customers are looking at what their onpremises infrastructure is going to be and we know it will be hybrid cloud and many are looking at how their infrastructure will enable their multicloud environment,2/25/2020,Neutral,Marketing Awareness,2020.1,FY21 Q1
1264,Nat Smith,Networking,on our focus on operational simplicity to bring idsips to the datacenter that technology is the right technology to be in there for ew because acl and other pieces that you can do from the infrastructure,2/25/2020,Neutral,Messaging,2020.1,FY21 Q1
1265,Nat Smith,Networking,sase getting pushed too fast   end users are not calling enough  they are calling for sdwan  vendors are calling and discussing it not end users  not the right timing,2/25/2020,Neutral,Strategy,2020.1,FY21 Q1
1266,Karl Whitelock,Project Maestro,mwc digital short with pat and shekar   on how vmwareare is rewriting the rules for telco network infrastructure that video was enlightening i enjoyed it a lot project maestro has a name now yeah,2/25/2020,Positive,Marketing Awareness,2020.1,FY21 Q1
1267,Camberley Bates,Tanzu,really impressed by how fast vmwareare has moved on this  very exciting work,2/25/2020,Positive,Features or products (included/missing/recommended),2020.1,FY21 Q1
1268,Charley Lane,Tanzu Observability,what is observability observability if an evolution of monitoring not just looking at a system from inside with agents but also observing patterns from the outside its an approach it uses different methods like logs tracing and metrics what do you with the data tool to look at the behavior kind of like devops its an approach of using tools,2/25/2020,Neutral,Adoption,2020.1,FY21 Q1
1269,Phil Dawson,Tanzu Observability,tmc is there a way of doing a version for providers not just cloud but also co lo and hostess so you could have the cloud contribution with the partners as well as on prem id be very interested in that,2/25/2020,Advice,Features or products (included/missing/recommended),2020.1,FY21 Q1
1270,Gregg Siegfried,Tanzu Observability,he felt that tanzu is tied to vmwareares kubernetes strategy and wavefront is broader than kubernetes and wondered if it would be constrained by the tanzu name explained that tanzu stands for more than kubernetes rather a way to engage a different audience,2/25/2020,Advice,Marketing Awareness,2020.1,FY21 Q1
1271,Dana Cooperson,Telco-Cloud,very impressed with the recent telco momentum ga on telco cloud automation and partners announcements,2/25/2020,Positive,Marketing Awareness,2020.1,FY21 Q1
1272,William Fellows,vSphere 7 with K8s,i like using the namespace,2/25/2020,Positive,Features or products (included/missing/recommended),2020.1,FY21 Q1
